word,aoa
assail,12
assailable,12
assailant,10
assassin,6
assassinate,6
assassination,6
assault,6
assault and battery,8
assay,12.666666666666666
assemblage,8
assemble,6
assembly,7
assembly line,8
assemblyman,13
assent,13
assert,12
assertion,12
assertive,12
assess,10
assessment,8
assessor,10
assets,10
asseverate,14
asseveration,14
assiduity,14
assiduous,14
assign,6
assignation,13
assignee,12
assignment,4
assimilate,14
assimilation,13
assist,9
assistance,4
assistant,4
assizes,13.5
associate,6
association,6
associative,12
assonance,12
assort,8
assorted,6
assortment,4
assuage,14
assume,7.333333333333333
assume power,6
assumption,8
assurance,8
assure,6
assured,6
assuredly,10
astatic,13
aster,6
asterisk,12
astern,10
asteroid,8.333333333333334
asthenia,13
asthma,8
astigmatism,12
astir,8
astonish,6
astonishment,4
astound,8
astraddle,10
astrakhan,12
astral,13
astray,7
astride,12
astringent,13
astrobiology,10
astrogation,12
astrolabe,13
astrologer,12
astrology,8
astrometry,6
astronaut,2
astronautics,10
astronomical,11
astronomy,4
astrophysics,10
astute,12
asunder,13
asylum,8
asymmetrical,12
at,3
at bay,12
at death's door,6
at first,2
at first hand,10
at full lick,10
at hand,6
at his own,12
at intervals,10.666666666666666
at issue,12
at large,11
at length,12
at liberty,12
at once,3
at one,12
at one's disposal,10
at sea,7
at stake,10
at the end,8
at the mercy of,12
at the moment,2
at the same time,12
at the side,2
at times,2
at your convenience,6
at-home,12
atabrine,12
atavism,14
atavistic,13
ataxia,14
ataxic,12
ate,2
atelier,13
atheism,12
atheist,12
athenaeum,12
atheroma,12
atherosclerosis,14
athirst,12
athlete,4
athlete's foot,4
athletic,4
athletics,4
athwart,14
atilt,8
atingle,8
atlas,2
atmosphere,8.75
atoll,12
atom,7
atom bomb,12
atomic,8
atomic bomb,4
atomic clock,12
atomic energy,10
atomizer,12
atonal,12
atone,13
atonement,12
atop,8
atrabilious,12
atrocious,12
atrocity,10
atrophy,14
atropin,14
attaboy,8
attach,9
attache,14
attache case,12
attached,8
attachment,6
attack,5.333333333333333
attain,10
attainable,8
attainder,14
attainment,10
attaint,14
attar,12
attempt,6
attend,6
attend to,6
attendance,4
attendant,11.333333333333334
attention,4.5
attention span,8
attentive,8
attenuate,14
attest,13
attire,12
attired,12
attitude,9
attorney,6
attorney-general,8
attract,6
attraction,6
attractive,4
attractiveness,6
attributable,13
attribute,10
attribution,10
attributive,12
attrition,14
attune,10
atypical,12
au contraire,8
au courant,13
au fait,13
au gratin,12
au jus,14
au naturel,13
au revoir,12
au secours!,13
auburn,6
auction,4
auctioneer,4
audacious,13
audacity,12
audible,8
audience,8.5
audient,8
audio,6
audio frequency,13
audio-visual,6
audit,12
audition,9
auditor,12
auditorium,4
auditory,12
auf wiedersehen,12
auger,13
aught,14
augment,13
augmentation,12
augur,12
augury,13
august,8
auk,13
auld,12
auld lang syne,12
aunt,2
auntie,6
aura,13
aural,12
aureate,13
aureole,13
aureomycin,14
auric,12
auricle,13
auricular,13
auriferous,12
aurora,9
aurora australis,12
aurora borealis,13
auroral,14
aurous,12
auscultation,13
auspice,14
auspices,13
auspicious,14
aussie,13
austere,14
austerity,12
autarchy,12
autarky,12
auteur,14
authentic,6
authenticate,8
authenticity,12
author,3
authoress,8
authoritarian,12
authoritative,12
authority,6
authorization,8
authorize,10
authorship,11
auto,6
auto court,12
auto-da-fe,12
auto-intoxicated,13
autobahn,12
autobiography,6
autochthonous,14
autocracy,12
autocrat,12
autocratic,12
autogamy,14
autogiro,12
autograph,4
autoharp,10
automat,12
automatic,4
automation,6
automaton,13
automobile,2
automotive,11
autonomic,13
autonomous,12
autonomy,14
autophobia,12
autopsy,8
autumn,2
autumnal,8
auxiliary,10
auxiliary verb,12
avail,13
available,6
availeth,12
avalanche,7
avant,12
avant-garde,14
avarice,13
avaricious,14
avast,12
avatar,13
avaunt,14
ave atque vale,14
ave maria,12
ave!,13
avenge,6
avenger,4
avenue,6
aver,14
average,6.666666666666667
averse,13
aversion,13
avert,11.5
avian,12
aviary,14
aviation,2
aviator,8
aviatrix,12
avid,12
avidity,13
avidly,12
avocado,8
avocation,14
avocet,12
avoid,4
avoidable,6
avoidance,6
avoirdupois,14
avouch,12
avow,13
avowal,12
avulsion,13
avuncular,13
aw,6
await,7
awake,3
awaken,2
awakening,4
award,2
aware,6
awash,8
away,2
away from,4
awe,6
awe-struck,10
aweary,8
awearying,10
aweigh,12
aweless,13
awesome,10
awful,9.75
awfullest,2
awfully,7
awhile,2
awkward,4
awkwardness,6
awl,14
awning,8
awoke,2
awry,14
ax,4
axe,4
axes,10
axial,12
axil,12
axilla,13
axiom,12
axiomatic,12
axis,8
axle,4
axletree,12
axon,12
ay!,12
aye,10
aye-aye,14
ayes,8
azalea,13
azimuth,13
azure,13
b'nai,14
baa,2
babbitt,14
