word,childes,childes_rank,childes_freq_z,childes_rank_z
leia,14,9410,-0.047044820750258835,-1.0994928111390638
lend,14,9411,-0.047044820750258835,-1.0994255803198352
likely,14,9412,-0.047044820750258835,-1.0993583495006067
lilliputian,14,9413,-0.047044820750258835,-1.0992911186813783
lizzy,14,9414,-0.047044820750258835,-1.0992238878621496
longport,14,9415,-0.047044820750258835,-1.0991566570429212
lyle,14,9416,-0.047044820750258835,-1.0990894262236928
machrauchenia,14,9417,-0.047044820750258835,-1.099022195404464
malificent,14,9418,-0.047044820750258835,-1.0989549645852357
matched,14,9419,-0.047044820750258835,-1.098887733766007
mira,14,9420,-0.047044820750258835,-1.0988205029467786
miriam's,14,9421,-0.047044820750258835,-1.0987532721275501
missus_gluck,14,9422,-0.047044820750258835,-1.0986860413083215
mistress,14,9423,-0.047044820750258835,-1.098618810489093
mmm,14,9424,-0.047044820750258835,-1.0985515796698646
moments,14,9425,-0.047044820750258835,-1.098484348850636
myra,14,9426,-0.047044820750258835,-1.0984171180314075
napper,14,9427,-0.047044820750258835,-1.098349887212179
ng,14,9428,-0.047044820750258835,-1.0982826563929504
nickle,14,9429,-0.047044820750258835,-1.098215425573722
nightie,14,9430,-0.047044820750258835,-1.0981481947544935
number's,14,9431,-0.047044820750258835,-1.0980809639352649
nurse's,14,9432,-0.047044820750258835,-1.0980137331160364
nyah,14,9433,-0.047044820750258835,-1.0979465022968078
oat,14,9434,-0.047044820750258835,-1.0978792714775794
oblong,14,9435,-0.047044820750258835,-1.097812040658351
obstacle,14,9436,-0.047044820750258835,-1.0977448098391223
octopuses,14,9437,-0.047044820750258835,-1.0976775790198938
officers,14,9438,-0.047044820750258835,-1.0976103482006654
orchid,14,9439,-0.047044820750258835,-1.0975431173814367
pacie,14,9440,-0.047044820750258835,-1.0974758865622083
pandas,14,9441,-0.047044820750258835,-1.0974086557429799
panettone,14,9442,-0.047044820750258835,-1.0973414249237512
par,14,9443,-0.047044820750258835,-1.0972741941045228
pastries,14,9444,-0.047044820750258835,-1.097206963285294
peeyou,14,9445,-0.047044820750258835,-1.0971397324660657
penguin's,14,9446,-0.047044820750258835,-1.0970725016468372
performing,14,9447,-0.047044820750258835,-1.0970052708276086
pero,14,9448,-0.047044820750258835,-1.0969380400083801
petes,14,9449,-0.047044820750258835,-1.0968708091891517
ph,14,9450,-0.047044820750258835,-1.096803578369923
